ClientID,Tenure,MonthlyCharges,TotalCharges,Gender,Churn
104,18,24.72,2718.57,Male,Yes
105,47,46.06,5810.42,Female,No
106,53,45.83,3842.68,Male,No
107,24,41.46,2834.98,Male,No
108,26,59.67,4162.56,Female,Yes
109,25,101.3,2671.79,Male,No
110,45,44.41,5953.87,Male,Yes
111,41,78.21,670.66,Male,No
112,29,75.76,1256.71,Female,No
113,15,101.79,4752.1,Female,No
114,45,59.4,4974.36,Male,No
115,1,42.36,3441.24,Female,Yes
116,25,109.15,2120.6,Female,Yes
117,7,103.29,4401.49,Female,No
118,9,82.15,1491.99,Female,Yes
119,24,29.32,1812.55,Female,Yes
120,1,21.61,4847.23,Female,No
121,44,38.26,4324.42,Female,Yes
122,8,39.66,3484.61,Male,Yes
123,24,33.62,1444.97,Female,No
124,11,46.22,5133.12,Male,No
125,51,53.79,894.61,Female,Yes
126,17,95.44,4118.3,Male,Yes
127,8,90.95,4619.22,Female,Yes
128,35,30.44,2096.3,Female,No
129,35,117.71,4747.06,Male,No
130,33,95.21,645.68,Female,No
131,59,36.34,5637.39,Female,No
132,5,32.45,2592.2,Female,No
133,42,28.75,5112.58,Female,No
134,39,93.18,2253.34,Male,Yes
135,58,43.63,4387.95,Female,No
136,41,27.3,3624.09,Male,No
137,28,62.18,2967.5,Male,No
138,7,90.87,5954.05,Male,No
139,9,50.46,4887.07,Male,Yes
140,8,68.26,1211.94,Female,No
141,12,39.27,5868.16,Female,No
142,34,62.91,3080.66,Female,No
143,33,55.89,4003.06,Male,Yes
144,48,63.39,1150.38,Male,No
145,55,66.57,5930.8,Male,Yes
146,23,29.23,3119.97,Male,No
147,24,29.34,3032.48,Male,No
148,37,46.06,2147.15,Male,Yes
149,35,31.58,2627.06,Female,No
150,44,45.28,4707.01,Female,No
151,40,22.45,1012.73,Female,Yes
152,22,55.07,2031.1,Male,No
153,27,41.34,2385.81,Female,Yes
154,35,109.21,1881.11,Female,Yes
155,1,105.82,1675.34,Male,No
156,35,50.04,5993.65,Female,Yes
157,37,67.55,4988.98,Male,No
158,47,115.58,1699.45,Female,No
159,14,72.41,5427.48,Male,Yes
160,3,104.84,2667.89,Male,No
161,1,102.64,938.14,Female,Yes
162,5,114.13,3773.26,Female,Yes
163,26,50.57,3419.71,Male,No
164,55,24.34,3018.36,Male,No
165,14,30.4,1500.31,Male,Yes
166,39,77.13,4684.28,Female,Yes
167,27,73.03,3353.23,Male,Yes
168,9,49.85,5016.5,Male,Yes
169,15,44.87,1556.06,Male,Yes
170,15,90.94,5866.86,Female,Yes
171,26,54.05,4204.58,Female,Yes
172,42,80.4,3190.88,Male,No
173,13,91.23,4656.55,Male,Yes
174,51,63.05,3784.81,Male,Yes
175,32,39.34,2829.47,Female,Yes
176,39,106.08,4775.19,Female,No
177,49,29.35,2350.78,Female,Yes
178,52,102.95,640.71,Female,Yes
179,32,103.67,4855.46,Male,No
180,4,77.1,2146.85,Female,Yes
181,30,82.95,3852.37,Male,Yes
182,37,55.8,5412.52,Male,No
183,23,104.16,1927.45,Male,No
184,39,46.37,5416.31,Male,No
185,45,75.98,1489.91,Female,Yes
186,15,20.18,1871.68,Female,No
187,43,113.98,3578.97,Female,No
188,29,114.83,3434.27,Female,No
189,36,91.04,5351.24,Male,Yes
190,13,62.32,1805.47,Male,Yes
191,32,37.86,5778.98,Male,No
192,7,69.25,3701.72,Female,Yes
193,59,99.14,3959.63,Male,No
194,51,80.53,574.85,Female,Yes
195,22,72.75,5979.58,Female,Yes
196,28,104.94,2410.04,Male,No
197,2,51.31,3164.75,Female,Yes
198,42,106.0,740.18,Female,No
199,45,63.95,3103.96,Female,Yes
200,57,20.24,996.39,Female,Yes
201,53,93.19,5814.34,Female,Yes
202,6,107.78,5126.82,Male,No
203,28,68.44,4434.92,Male,No
204,28,65.47,3463.97,Female,Yes
205,44,100.54,4851.87,Female,No
206,44,108.48,1454.13,Male,Yes
207,20,117.44,1145.38,Female,Yes
208,30,54.57,602.39,Female,Yes
209,11,79.47,3253.63,Female,Yes
210,58,102.29,4280.68,Female,Yes
211,55,73.19,2278.22,Female,Yes
212,28,66.19,630.28,Female,Yes
213,25,77.19,867.88,Male,Yes
214,39,55.69,1358.57,Female,No
215,33,39.21,2968.7,Male,No
216,1,26.66,2867.66,Male,Yes
217,57,81.0,1250.55,Male,No
218,27,57.91,4971.01,Male,No
219,57,108.3,4059.04,Male,No
220,52,42.3,3052.21,Male,No
221,13,51.07,4502.12,Female,No
222,41,117.05,5824.19,Male,Yes
223,3,75.63,820.66,Female,No
224,39,54.68,5970.08,Male,Yes
225,6,106.09,5908.88,Female,Yes
226,8,94.34,1245.82,Female,Yes
227,27,77.31,5450.0,Female,Yes
228,9,108.91,4517.89,Male,Yes
229,37,29.4,1642.73,Male,Yes
230,33,59.45,4932.87,Male,Yes
231,51,101.06,1260.4,Male,Yes
232,42,58.59,1311.55,Female,No
233,44,112.67,1363.55,Male,No
234,24,35.25,4364.0,Female,Yes
235,15,53.66,603.5,Male,No
236,59,62.57,3305.91,Male,Yes
237,54,88.7,2870.79,Female,Yes
238,32,39.53,1459.31,Female,No
239,32,20.99,947.38,Female,No
240,24,117.65,2450.06,Male,Yes
241,41,109.88,2321.14,Male,No
242,52,50.02,5853.85,Male,No
243,49,68.35,1577.91,Female,Yes
244,49,68.89,3212.89,Male,No
245,58,106.92,3197.17,Female,Yes
246,52,79.71,3194.76,Male,No
247,12,102.64,5716.39,Male,Yes
248,39,111.2,2515.51,Male,No
249,2,76.6,982.81,Female,No
250,3,48.55,946.48,Female,Yes
251,49,69.87,5179.79,Female,Yes
252,37,105.09,3644.66,Male,Yes
253,49,78.36,1638.67,Female,Yes
254,56,109.57,5199.93,Male,Yes
255,17,109.54,4753.09,Female,Yes
256,59,57.34,2563.66,Female,No
257,49,64.81,3339.75,Female,Yes
258,2,87.79,4003.52,Male,No
259,2,31.11,1771.36,Female,Yes
260,28,66.56,4057.91,Male,Yes
261,54,34.94,3827.79,Male,Yes
262,23,104.8,2578.01,Female,No
263,37,114.28,3823.28,Male,Yes
264,32,34.15,2112.94,Male,Yes
265,33,86.73,3618.11,Female,No
266,1,83.65,3683.73,Female,No
267,19,96.01,5910.31,Female,Yes
268,2,89.58,1116.54,Female,No
269,53,41.71,911.82,Female,No
270,44,49.12,2087.66,Male,Yes
271,26,36.52,2177.75,Female,No
272,32,112.11,5813.52,Male,No
273,6,72.18,5993.38,Male,Yes
274,32,117.62,4460.93,Female,Yes
275,55,64.93,1275.11,Female,Yes
276,4,75.27,3634.82,Male,Yes
277,55,98.93,5313.06,Male,No
278,11,99.72,3048.96,Male,Yes
279,56,43.11,3504.05,Male,Yes
280,59,48.83,3739.81,Female,Yes
281,17,29.78,4152.5,Male,No
282,38,100.55,3958.28,Male,No
283,24,99.39,3288.32,Male,No
284,5,28.13,2435.73,Male,No
285,52,45.74,2570.96,Female,No
286,34,64.99,2306.19,Female,No
287,6,74.18,4782.53,Male,No
288,22,72.25,3078.34,Female,No
289,11,118.31,1078.15,Female,Yes
290,48,96.41,2063.72,Male,No
291,16,31.32,1536.54,Male,Yes
292,33,49.35,966.43,Female,No
293,9,54.54,2217.49,Male,Yes
294,59,51.51,713.29,Male,Yes
295,6,98.59,2439.92,Female,Yes
296,16,56.06,555.16,Male,Yes
297,29,69.24,3900.21,Male,No
298,3,73.35,2425.08,Female,No
299,20,47.04,515.61,Male,No
300,59,52.27,4978.08,Male,No
301,36,98.0,1004.37,Female,No
302,19,106.67,2770.66,Female,Yes
303,26,23.71,579.85,Male,Yes
304,3,80.52,5202.22,Female,No
305,19,83.34,1937.79,Female,No
306,20,93.73,4438.73,Female,Yes
307,32,89.38,1506.78,Male,Yes
308,7,107.74,5753.74,Male,No
309,52,27.85,4997.01,Male,No
310,41,58.84,815.72,Female,Yes
311,33,98.21,1037.41,Male,No
312,40,104.66,1250.48,Male,No
313,39,46.48,3321.43,Female,No
314,18,78.53,5680.29,Female,No
315,40,38.08,3762.11,Female,No
316,1,105.09,1906.99,Female,No
317,11,93.04,3092.7,Female,No
318,28,42.21,1706.63,Male,No
319,57,82.38,5705.28,Male,Yes
320,25,70.93,5463.13,Male,Yes
321,50,45.88,5751.25,Female,Yes
322,23,109.31,5854.67,Male,Yes
323,31,34.78,1093.47,Male,Yes
324,30,66.75,5756.61,Male,Yes
325,42,78.28,3900.02,Male,No
326,35,102.35,2033.32,Male,No
327,7,35.02,3229.48,Female,Yes
328,16,80.92,973.17,Female,No
329,26,20.66,1987.36,Male,No
330,48,102.26,4120.92,Male,No
331,57,43.47,2038.57,Male,No
332,52,92.09,2337.03,Female,Yes
333,49,80.19,4294.65,Female,No
334,2,25.01,2259.05,Male,Yes
335,1,38.32,665.35,Male,Yes
336,48,46.77,3715.99,Female,Yes
337,12,108.67,5441.27,Female,No
338,5,68.08,5016.91,Male,Yes
339,37,111.35,2514.29,Female,Yes
340,32,24.74,1488.55,Female,No
341,59,20.66,1245.42,Female,No
342,55,114.82,2335.33,Female,No
343,9,92.39,1246.18,Female,No
344,41,98.33,4066.14,Male,Yes
345,35,111.58,5865.21,Female,No
346,19,118.45,856.12,Female,Yes
347,48,29.77,2510.61,Male,Yes
348,16,35.83,5936.43,Female,No
349,3,38.86,615.1,Male,Yes
350,20,101.84,787.61,Female,No
351,24,55.55,2510.32,Male,No
352,54,79.33,2406.49,Female,Yes
353,56,105.52,4789.01,Female,No
354,33,88.32,2678.97,Male,No
355,24,26.54,2581.26,Female,No
356,52,64.57,3898.83,Female,Yes
357,11,26.75,4414.29,Male,Yes
358,49,67.88,5991.69,Female,Yes
359,8,41.93,2676.54,Female,Yes
360,36,20.13,3006.66,Male,No
361,38,101.32,935.44,Male,No
362,40,116.94,2612.74,Female,No
363,20,116.41,1147.95,Female,No
364,35,49.92,3839.39,Male,No
365,48,102.88,4097.36,Female,No
366,25,87.88,5233.58,Female,No
367,35,100.01,1059.94,Male,No
368,25,104.62,2720.82,Male,No
369,29,118.03,3246.07,Male,No
370,18,35.17,4059.54,Female,Yes
371,46,96.97,5860.95,Male,Yes
372,18,93.42,725.1,Male,Yes
373,2,48.77,4816.6,Male,No
374,54,59.26,1109.2,Male,No
375,35,37.68,2939.9,Male,No
376,16,111.33,2369.9,Female,Yes
377,41,107.93,4853.57,Male,No
378,36,81.4,4545.34,Female,Yes
379,33,71.16,5230.56,Male,No
380,4,43.29,5243.54,Female,Yes
381,33,98.96,2479.81,Female,Yes
382,14,20.82,3429.47,Male,No
383,21,66.28,1050.76,Female,Yes
384,48,106.06,2780.44,Male,No
385,20,81.85,4020.98,Male,No
386,56,83.51,5726.97,Male,No
387,8,27.07,2274.54,Male,Yes
388,7,48.67,5299.44,Male,Yes
389,3,87.39,4881.06,Female,No
390,17,24.96,3342.83,Female,No
391,33,53.09,1059.15,Male,Yes
392,48,55.39,5358.41,Male,Yes
393,12,69.87,1069.43,Female,No
394,59,56.24,5983.1,Female,No
395,51,65.41,3890.83,Male,Yes
396,22,74.7,4248.94,Female,No
397,55,32.83,2948.65,Female,No
398,22,38.05,2092.74,Female,Yes
399,46,103.25,3194.65,Female,No
400,30,65.98,5027.55,Male,No
401,38,55.52,3773.39,Male,No
402,38,63.39,888.68,Male,No
403,45,37.48,3849.17,Male,No
404,51,43.98,843.71,Female,Yes
405,54,71.55,830.08,Male,Yes
406,8,55.89,3927.16,Female,Yes
407,27,67.55,889.54,Male,Yes
408,27,34.97,4297.46,Male,No
409,34,35.65,4551.95,Female,No
410,21,58.39,1087.56,Male,Yes
411,30,57.89,3430.22,Female,Yes
412,33,108.33,5756.68,Male,Yes
413,28,23.35,2168.41,Female,No
414,47,119.29,2016.3,Male,No
415,33,115.65,2940.57,Female,Yes
416,5,74.23,5010.26,Male,No
417,48,91.88,4124.41,Male,No
418,19,113.53,2949.46,Female,No
419,4,45.12,4094.65,Female,No
420,35,51.56,4283.47,Female,Yes
421,49,31.09,537.95,Male,Yes
422,17,76.38,3345.29,Female,No
423,44,35.94,1060.64,Female,No
424,28,113.09,1757.53,Female,Yes
425,30,63.16,5183.11,Female,No
426,29,111.97,4249.68,Male,Yes
427,46,40.51,3114.42,Male,No
428,53,89.4,2866.48,Female,No
429,6,84.76,2103.84,Male,No
430,35,59.97,2829.73,Male,No
431,41,109.83,1364.27,Female,No
432,37,63.48,3575.66,Female,Yes
433,24,39.84,3008.86,Male,No
434,29,117.7,5160.59,Male,No
435,49,64.15,1961.16,Male,Yes
436,46,40.81,5955.19,Female,Yes
437,53,56.36,5576.05,Male,Yes
438,31,81.35,3550.57,Male,Yes
439,35,71.2,4141.49,Female,No
440,33,83.51,5774.91,Female,Yes
441,52,86.19,2208.79,Female,Yes
442,21,32.34,698.42,Male,Yes
443,32,51.49,1980.15,Male,No
444,23,94.87,947.84,Male,No
445,33,85.04,4807.65,Female,No
446,3,28.83,2057.35,Male,Yes
447,18,51.51,1230.34,Male,Yes
448,25,113.13,5876.94,Male,No
449,42,106.2,629.7,Male,Yes
450,31,87.06,5919.98,Male,No
451,54,27.29,4127.79,Female,No
452,58,80.71,3466.68,Male,Yes
453,3,21.22,4028.9,Female,No
454,40,86.11,5680.62,Male,Yes
455,46,93.12,1025.05,Female,Yes
456,24,69.72,4131.61,Female,Yes
457,50,20.38,2998.65,Male,Yes
458,32,86.66,5137.77,Female,No
459,47,101.97,2927.91,Male,No
460,22,78.59,2763.23,Female,Yes
461,23,90.92,5621.74,Female,Yes
462,2,29.03,4889.06,Female,No
463,27,91.53,1718.07,Male,No
464,42,81.42,3075.68,Male,Yes
465,2,53.1,4404.81,Male,No
466,26,88.53,1807.5,Male,No
467,17,84.56,4485.35,Female,Yes
468,40,79.95,4923.33,Male,No
469,33,38.29,4848.81,Male,No
470,9,49.62,981.36,Male,No
471,43,119.14,2419.83,Male,No
472,54,63.31,5943.45,Male,Yes
473,48,25.94,4605.34,Male,Yes
474,39,109.9,4891.99,Male,No
475,29,37.29,4294.39,Female,Yes
476,42,60.35,5304.33,Female,No
477,55,47.8,4468.48,Female,No
478,26,116.39,3683.26,Female,Yes
479,35,57.81,3984.42,Female,Yes
480,50,90.87,3173.55,Female,Yes
481,25,79.84,1244.44,Female,No
482,24,24.3,1734.08,Female,No
483,13,58.43,1191.23,Male,No
484,58,59.0,4795.99,Male,No
485,7,118.98,2989.83,Female,Yes
486,57,101.19,2617.6,Female,Yes
487,36,105.67,1898.73,Male,Yes
488,45,51.35,1244.1,Female,No
489,20,52.91,2834.4,Female,Yes
490,1,71.56,2230.06,Female,Yes
491,8,83.1,1593.0,Female,No
492,46,92.83,1834.26,Male,Yes
493,16,102.08,5293.89,Female,Yes
494,14,107.32,2342.52,Female,Yes
495,12,22.46,5302.69,Male,No
496,51,99.61,5371.39,Female,Yes
497,23,81.08,3840.69,Female,Yes
498,15,73.21,5368.83,Female,No
499,28,82.85,5575.52,Female,Yes
500,34,108.19,1730.67,Female,No
501,2,74.53,5150.69,Female,Yes
502,32,36.22,5816.77,Male,Yes
503,23,63.68,3358.11,Male,Yes
504,22,112.45,5334.87,Male,Yes
505,51,101.45,3878.82,Female,No
506,25,40.3,5070.86,Female,Yes
507,58,91.41,1723.05,Female,No
508,22,45.62,1633.23,Female,Yes
509,58,54.85,5021.98,Male,No
510,58,66.89,4553.9,Female,No
511,22,64.09,5368.48,Male,Yes
512,49,22.93,648.7,Male,Yes
513,52,97.4,3922.12,Male,Yes
514,42,104.64,2919.15,Male,No
515,6,73.09,2363.82,Female,No
516,15,37.3,5206.9,Male,Yes
517,54,44.79,2264.03,Male,Yes
518,43,32.63,2587.01,Male,No
519,37,36.95,1827.03,Female,No
520,33,107.64,5850.91,Female,Yes
521,8,68.02,3977.04,Male,No
522,53,31.1,4493.64,Female,Yes
523,44,45.47,5900.07,Male,No
524,44,114.95,3528.22,Male,Yes
525,5,70.93,3097.88,Male,Yes
526,39,71.56,3102.66,Female,No
527,4,72.56,4467.75,Female,No
528,6,31.16,5494.83,Male,No
529,45,117.03,4765.87,Female,No
530,32,28.45,3388.58,Male,No
531,52,90.0,1948.28,Male,Yes
532,30,25.78,5113.22,Female,No
533,47,64.36,5065.84,Female,No
534,35,109.97,1718.64,Male,No
535,55,96.84,4276.17,Male,No
536,40,53.47,3551.48,Male,No
537,52,75.13,1702.69,Female,Yes
538,16,36.53,2103.21,Female,Yes
539,13,115.61,4507.39,Male,No
540,50,90.87,5725.87,Female,No
541,42,57.43,4067.49,Female,Yes
542,30,51.79,5855.9,Female,Yes
543,19,43.86,3500.54,Male,No
544,17,98.65,5200.52,Male,No
545,56,63.46,5858.07,Male,Yes
546,19,53.02,660.44,Female,Yes
547,28,110.52,733.44,Male,Yes
548,58,35.02,1882.88,Female,No
549,55,46.38,2054.21,Female,Yes
550,26,54.48,3559.27,Female,No
551,37,45.99,3250.5,Female,Yes
552,26,78.54,5093.44,Male,Yes
553,53,80.1,3540.67,Male,No
554,23,25.47,2017.77,Male,No
555,9,34.45,1707.19,Male,No
556,12,39.85,2103.3,Male,No
557,53,27.03,1274.75,Male,Yes
558,1,32.48,3837.73,Male,No
559,58,43.97,1829.12,Male,No
560,58,54.56,5262.91,Male,No
561,1,99.13,5807.95,Male,No
562,47,41.79,2643.62,Male,Yes
563,34,87.0,5614.81,Female,No
564,32,25.79,5282.74,Female,No
565,54,85.82,3342.78,Female,Yes
566,48,99.47,1498.56,Female,Yes
567,25,80.48,3702.23,Female,Yes
568,40,40.14,4755.35,Female,No
569,45,53.04,1184.54,Female,Yes
570,53,100.52,5647.14,Female,No
571,1,63.2,4668.97,Female,No
572,16,45.52,5079.51,Male,No
573,39,113.27,3623.88,Male,Yes
574,5,83.74,1840.47,Male,Yes
575,22,100.57,666.34,Male,Yes
576,29,22.45,3069.23,Female,No
577,55,53.93,941.12,Female,No
578,3,65.89,1511.45,Female,No
579,12,78.74,3098.17,Female,Yes
580,26,39.0,3354.33,Female,No
581,16,69.8,3286.66,Female,Yes
582,51,88.56,3384.56,Male,No
583,37,54.59,2121.35,Male,Yes
584,22,89.14,3913.0,Female,Yes
585,57,58.97,2480.24,Male,Yes
586,29,66.95,3130.05,Female,Yes
587,14,33.43,2187.22,Female,No
588,28,85.13,1179.43,Female,No
589,5,42.43,1240.58,Female,No
590,47,102.89,4847.73,Female,No
591,49,75.34,3897.14,Female,No
592,30,76.03,612.19,Male,Yes
593,46,111.25,5031.99,Male,No
594,52,36.74,508.21,Male,Yes
595,5,73.02,1251.45,Female,No
596,12,58.22,962.51,Male,Yes
597,16,116.63,2547.18,Female,Yes
598,26,99.27,1382.32,Male,No
599,26,95.75,2117.57,Male,No
600,48,40.41,1529.86,Male,Yes
601,21,43.73,4905.58,Female,Yes
602,39,22.92,1208.24,Female,Yes
603,36,83.85,1022.51,Male,No
604,33,57.08,1920.07,Male,No
605,30,51.2,2364.76,Female,No
606,37,83.7,2501.38,Female,No
607,23,102.87,660.49,Female,Yes
608,58,33.3,2676.24,Female,Yes
609,10,111.87,1954.3,Male,Yes
610,54,23.43,3551.79,Female,Yes
611,5,29.51,1679.45,Female,Yes
612,36,103.81,4678.84,Female,Yes
613,34,69.27,4489.48,Female,No
614,52,113.93,965.93,Male,Yes
615,31,66.17,1978.94,Female,No
616,10,112.61,2656.79,Male,No
617,58,43.96,1545.02,Female,No
618,19,81.64,2840.23,Female,Yes
619,58,119.45,4749.32,Female,No
620,32,57.61,567.1,Female,No
621,1,20.15,868.38,Female,Yes
622,56,26.41,5033.86,Female,Yes
623,5,105.91,3794.2,Female,Yes
624,45,69.19,1971.5,Female,Yes
625,4,73.67,5934.14,Male,No
626,16,99.94,3545.34,Female,No
627,24,101.16,4453.71,Female,No
628,16,67.74,5416.38,Female,Yes
629,55,105.81,2579.89,Male,Yes
630,2,66.84,921.23,Male,No
631,49,87.5,5930.79,Male,No
632,28,23.34,2086.07,Female,No
633,32,33.8,4166.57,Female,No
634,27,105.14,1131.92,Female,Yes
635,20,51.31,2427.4,Male,Yes
636,24,53.47,2016.45,Male,Yes
637,12,86.3,5798.49,Male,No
638,50,79.25,1060.39,Female,No
639,35,28.22,600.98,Male,Yes
640,33,96.58,3783.19,Female,Yes
641,33,81.72,3012.84,Female,No
642,51,105.53,3163.09,Female,No
643,43,73.55,2841.85,Male,No
644,37,61.43,641.92,Male,No
645,12,57.13,1875.03,Male,No
646,3,20.44,5262.57,Female,No
647,1,23.98,4495.67,Female,No
648,33,33.12,4683.3,Female,No
649,40,112.95,5569.59,Female,Yes
650,10,108.07,2477.45,Female,Yes
651,43,69.72,2115.8,Male,No
652,44,38.02,5105.96,Male,Yes
653,29,34.61,5525.88,Female,No
654,13,45.61,5324.65,Female,Yes
655,12,110.87,4190.57,Male,No
656,31,72.15,893.77,Female,No
657,46,100.4,1745.59,Male,No
658,2,70.68,5612.1,Male,No
659,51,80.94,4306.92,Female,No
660,50,81.01,3039.11,Female,No
661,35,23.13,4171.83,Male,Yes
662,23,64.53,5440.55,Female,No
663,17,106.4,4419.53,Male,No
664,26,68.91,2866.97,Female,No
665,8,63.53,5800.0,Male,No
666,29,72.65,4398.45,Male,Yes
667,26,58.08,4893.55,Female,No
668,10,71.54,1358.76,Male,Yes
669,26,33.53,4009.47,Male,Yes
670,34,116.79,5056.71,Male,No
671,51,23.41,3950.71,Male,Yes
672,41,68.32,949.33,Male,Yes
673,7,41.0,894.57,Male,No
674,4,25.84,2404.93,Female,Yes
675,58,85.17,3685.97,Male,No
676,53,118.52,4922.71,Female,No
677,50,94.96,4614.02,Male,No
678,45,45.4,654.37,Female,Yes
679,11,69.34,2073.91,Female,Yes
680,29,24.98,5125.06,Female,No
681,56,73.17,2776.56,Female,Yes
682,36,29.95,631.02,Female,Yes
683,25,99.46,4747.96,Male,Yes
684,21,25.67,3626.19,Female,Yes
685,57,20.94,1255.35,Female,Yes
686,36,106.16,3181.17,Male,No
687,10,114.25,783.45,Female,Yes
688,37,28.66,5477.38,Female,Yes
689,9,47.89,1797.36,Female,Yes
690,24,94.17,5092.64,Male,Yes
691,35,73.97,4663.16,Male,Yes
692,49,114.92,3083.14,Male,Yes
693,35,58.92,1398.53,Male,Yes
694,48,20.33,5406.59,Male,No
695,36,21.97,1663.23,Male,Yes
696,18,76.49,1502.15,Female,No
697,49,95.21,1707.41,Male,Yes
698,39,99.06,2104.19,Male,No
699,32,111.15,2642.05,Male,Yes
700,24,42.91,5948.89,Male,No
701,23,93.84,4147.51,Female,No
702,32,102.71,953.52,Female,Yes
703,37,103.63,926.87,Female,No
704,12,61.15,833.58,Male,No
705,49,82.6,3054.26,Male,No
706,55,75.16,2682.01,Female,Yes
707,13,79.75,5266.62,Male,No
708,23,48.2,2623.93,Female,Yes
709,25,88.32,2886.0,Female,Yes
710,35,91.0,3994.23,Female,Yes
711,41,39.59,4858.43,Female,Yes
712,30,64.36,4956.44,Female,Yes
713,17,62.21,4520.11,Male,Yes
714,49,94.9,3199.67,Male,Yes
715,20,86.65,5662.24,Male,Yes
716,48,67.62,2804.21,Male,Yes
717,25,85.25,2927.04,Female,No
718,22,46.29,5197.49,Male,Yes
719,13,43.23,2370.45,Male,Yes
720,59,43.99,2655.4,Male,No
721,19,22.95,1699.45,Male,No
722,49,89.11,597.06,Male,Yes
723,36,118.58,4535.29,Male,Yes
724,12,50.9,651.17,Male,No
725,41,112.98,3391.96,Male,No
726,19,80.65,5861.8,Female,Yes
727,12,42.49,3805.21,Male,No
728,9,21.19,666.11,Female,Yes
729,7,92.37,4305.02,Female,Yes
730,28,89.66,4704.9,Male,Yes
731,14,42.93,2298.84,Female,No
732,31,53.27,767.37,Male,No
733,52,109.8,2165.44,Male,No
734,19,35.72,686.11,Male,No
735,58,103.54,2310.13,Male,No
736,47,36.92,4846.44,Male,Yes
737,16,68.17,5510.94,Male,No
